; matrix-scan  -v 1 -matrix_format jaspar -m JASPAR2024_CORE_non-redundant_pfms_jaspar.txt -bginput -markov 1 -pseudo 1 -decimals 1 -2str -origin end -return distrib -return occ_proba -sort_distrib -uth occ_pval 1e-4 -lth occ_sig 0 -uth occ_sig_rank 1 -lth score 5 -i promotores_seq_chr20.fa -seq_format fasta -n skip -o mat_final_promotores2.tab
; Slow counting mode            
; Input files
;	input	promotores_seq_chr20.fa
; Matrix files
;	matrix 1	JASPAR2024_CORE_non-redundant_pfms_jaspar.txt
; Sequence format      	fasta
; Output files
;	output	mat_final_promotores2.tab
; Pseudo counts        	1
; Background model
;	Method        	input
;	Markov order  	1
;	Strand        	undef
;	Background pseudo-frequency	0.01
;	Residue probabilities
;		a	0.24313
;		c	0.25321
;		g	0.25756
;		t	0.24610
; Thresholds	lower	upper
;	occ_pval	NA	0.0001
;	occ_sig	0    	NA
;	occ_sig_rank	NA	1    
;	score 	5    	NA
;
; Matrices
;	matrix	name                      	ncol	nrow	pseudo	Wmin	Wmax	Wrange
;	58	GLIS2                     	14	4	1	-61.700	15.500	77.200	a:0.243 c:0.253 g:0.258 t:0.246 
;	59	GLIS3                     	14	4	1	-68.400	17.600	86.000	a:0.243 c:0.253 g:0.258 t:0.246 
;	60	KLF16                     	11	4	1	-45.600	12.300	57.900	a:0.243 c:0.253 g:0.258 t:0.246 
;	61	ZNF143                    	16	4	1	-93.700	18.300	112.000	a:0.243 c:0.253 g:0.258 t:0.246 
;	62	E2F7                      	14	4	1	-83.400	18.400	101.800	a:0.243 c:0.253 g:0.258 t:0.246 
;	63	HSF2                      	13	4	1	-62.100	15.200	77.300	a:0.243 c:0.253 g:0.258 t:0.246 
;	64	HSF4                      	13	4	1	-40.500	13.600	54.100	a:0.243 c:0.253 g:0.258 t:0.246 
;	65	MEF2D                     	12	4	1	-85.900	14.300	100.200	a:0.243 c:0.253 g:0.258 t:0.246 
;	66	MEIS2                     	8	4	1	-35.200	9.500	44.700	a:0.243 c:0.253 g:0.258 t:0.246 
;	67	MYBL1                     	12	4	1	-60.400	13.700	74.100	a:0.243 c:0.253 g:0.258 t:0.246 
;	68	MYBL2                     	15	4	1	-47.400	16.000	63.400	a:0.243 c:0.253 g:0.258 t:0.246 
;	69	NFKB1                     	13	4	1	-83.200	16.200	99.400	a:0.243 c:0.253 g:0.258 t:0.246 
;	70	PAX3                      	10	4	1	-47.700	12.700	60.400	a:0.243 c:0.253 g:0.258 t:0.246 
